dataset,method,composition_regime,group_id,channel,measurement_std,process_std,measurement_norm_std,process_norm_std,process_over_measurement
Manual 7:1:1,manual pipette,7:1:1,2,RGB_G,0.4066155056794729,8.304845569951361,0.0015945706105077368,0.032568021842946514,20.42432089763421
Manual 7:1:1,manual pipette,7:1:1,3,RGB_G,0.7602794754456967,3.83678165106681,0.0029814881390027325,0.015046202553203176,5.046541140437315
Manual 7:1:1,manual pipette,7:1:1,4,RGB_G,0.4784427559228688,8.25959173980974,0.001876246101658309,0.03239055584239113,17.263490015389205
Manual 7:1:1,manual pipette,7:1:1,1,RGB_B,0.05085792260221641,0.2525578206624728,0.00019944283373418199,0.0009904228261273442,4.965948425338675
Manual 7:1:1,manual pipette,7:1:1,2,RGB_B,0.03844788621393327,0.07057381872117231,0.00015077602436836576,0.000276760073416362,1.8355708381075269
Manual 7:1:1,manual pipette,7:1:1,3,RGB_B,0.07313427470855287,0.09950570893728213,0.0002868010772884426,0.00039021846642071424,1.3605892631576912
Manual 7:1:1,manual pipette,7:1:1,4,RGB_B,0.5863983064179552,9.264137928753163,0.00229960120163904,0.03632995266177711,15.798370880952293
Manual 7:1:1,manual pipette,7:1:1,1,LAB_L,0.10004058615060113,2.1282108387267646,0.0010004058615060113,0.021282108387267646,21.27347430294896
Manual 7:1:1,manual pipette,7:1:1,2,LAB_L,0.047761997343659685,1.478655190129296,0.00047761997343659683,0.014786551901292959,30.958822335045934
Manual 7:1:1,manual pipette,7:1:1,3,LAB_L,0.035062683136036325,1.7702009095538238,0.00035062683136036324,0.017702009095538238,50.48674976429476
Manual 7:1:1,manual pipette,7:1:1,4,LAB_L,0.055732997693828064,3.443297574435169,0.0005573299769382807,0.03443297574435169,61.782027109883664
Manual 7:1:1,manual pipette,7:1:1,1,LAB_A,0.4282739751789149,4.508864301141817,0.0016795057850153526,0.01768182078879144,10.52799040440924
Manual 7:1:1,manual pipette,7:1:1,2,LAB_A,0.11980789698650467,3.1556704718414195,0.00046983489014315556,0.012375178320946744,26.3394196143588
Manual 7:1:1,manual pipette,7:1:1,3,LAB_A,0.17246242789172483,4.091048978155441,0.000676323246634215,0.016043329326099767,23.721392700814107
Manual 7:1:1,manual pipette,7:1:1,4,LAB_A,0.5193666104605108,3.7081464292474684,0.0020367318057274934,0.014541750702931249,7.1397474434475825
Manual 7:1:1,manual pipette,7:1:1,1,LAB_B,0.11537762185979976,2.0882061325098737,0.0004524612621952932,0.008189043656901466,18.09888346500452
Manual 7:1:1,manual pipette,7:1:1,2,LAB_B,0.05329418063753577,1.1874319192959928,0.00020899678681386577,0.00465659576194507,22.2807050430506
Manual 7:1:1,manual pipette,7:1:1,3,LAB_B,0.04020061410197989,1.6903867947131919,0.00015764946706658782,0.006628967822404674,42.04878040979826
Manual 7:1:1,manual pipette,7:1:1,4,LAB_B,0.23239465549335725,2.1788393928878733,0.0009113515901700284,0.008544468207403426,9.37560026181477
Manual 7:1:1,manual pipette,7:1:1,1,HSV_H,0.13534404847091303,2.063823678048606,0.00037595569019698065,0.005732843550135016,15.248721324396803
Manual 7:1:1,manual pipette,7:1:1,2,HSV_H,0.09052912843770855,2.401073780623995,0.0002514698012158571,0.006669649390622209,26.522665379200355
Manual 7:1:1,manual pipette,7:1:1,3,HSV_H,0.08529957066443249,1.8076732804599642,0.0002369432518456458,0.0050213146679443455,21.192056025361836
Manual 7:1:1,manual pipette,7:1:1,4,HSV_H,0.5503068232183496,6.076190900571278,0.0015286300644954155,0.01687830805714244,11.04146022583547
Manual 7:1:1,manual pipette,7:1:1,1,HSV_S,0.032850080880020775,0.09975033648880112,0.00032850080880020776,0.0009975033648880111,3.0365324473057442
Manual 7:1:1,manual pipette,7:1:1,2,HSV_S,0.016898655201044565,0.025216396781987928,0.00016898655201044564,0.00025216396781987927,1.4922132253712836
Manual 7:1:1,manual pipette,7:1:1,3,HSV_S,0.019868552715299057,0.06136285521388111,0.00019868552715299057,0.0006136285521388111,3.0884411206575137
Manual 7:1:1,manual pipette,7:1:1,4,HSV_S,0.3321776472571607,5.78931155921234,0.003321776472571607,0.0578931155921234,17.428359815946468
Manual 7:1:1,manual pipette,7:1:1,1,HSV_V,0.2631741651657968,4.296234187785427,0.002631741651657968,0.042962341877854276,16.324680597272334
Manual 7:1:1,manual pipette,7:1:1,2,HSV_V,0.06940382568555231,2.257847248220366,0.0006940382568555231,0.02257847248220366,32.53202868743846
Manual 7:1:1,manual pipette,7:1:1,3,HSV_V,0.12273089947298695,3.879827818941147,0.0012273089947298695,0.03879827818941147,31.61247766944865
Manual 7:1:1,manual pipette,7:1:1,4,HSV_V,0.12423515876695462,3.23529789228934,0.0012423515876695463,0.0323529789228934,26.041725421369996
Automated 6:2:1,automated,6:2:1,1,RGB_R,1.7159889633588472,6.982481678908753,0.006729368483760185,0.027382281093759817,4.069071438106084
Automated 6:2:1,automated,6:2:1,2,RGB_R,0.8404704115083872,8.878711106672004,0.0032959623980721065,0.0348184749281255,10.56397820208499
Automated 6:2:1,automated,6:2:1,3,RGB_R,1.6524447925970867,6.896808201114698,0.006480175657243477,0.027046306671038033,4.173699618899364
Automated 6:2:1,automated,6:2:1,4,RGB_R,1.237263900288153,13.755223249699515,0.004852015295247658,0.05394205195960594,11.117452991634194
Automated 6:2:1,automated,6:2:1,1,RGB_G,1.1630416839990716,9.503049369466542,0.004560947780388516,0.03726686027241781,8.170858792258151
Automated 6:2:1,automated,6:2:1,2,RGB_G,0.39936639439023264,13.736208622853525,0.0015661427230989516,0.05386748479550402,34.39500372540478
Automated 6:2:1,automated,6:2:1,3,RGB_G,0.38857801553453947,4.704697441761631,0.0015238353550374097,0.0184497938892613,12.10747199707042
Automated 6:2:1,automated,6:2:1,4,RGB_G,0.41799474356516636,5.42654078008845,0.001639195072804574,0.021280552078778235,12.982318231574698
Automated 6:2:1,automated,6:2:1,1,RGB_B,1.923704462854083,18.228845537793685,0.007543939070016012,0.07148566877566151,9.475907495036248
Automated 6:2:1,automated,6:2:1,2,RGB_B,1.0211689617084916,15.744655774085519,0.004004584163562712,0.0617437481336687,15.41826706889283
Automated 6:2:1,automated,6:2:1,3,RGB_B,1.1488541145626125,8.68398598853511,0.004505310253186716,0.034054847013863174,7.558823943317855
Automated 6:2:1,automated,6:2:1,4,RGB_B,0.05320349969367818,0.17744312860431896,0.0002086411752693262,0.0006958554062914469,3.3351777538311707
Automated 6:2:1,automated,6:2:1,1,LAB_L,0.03903431291104106,2.4052569542027626,0.00039034312911041054,0.024052569542027627,61.6190416796711
Automated 6:2:1,automated,6:2:1,2,LAB_L,0.09268334014160202,3.203422348167779,0.0009268334014160203,0.03203422348167779,34.56308699355867
Automated 6:2:1,automated,6:2:1,3,LAB_L,0.07653330464798523,1.6309504707264915,0.0007653330464798523,0.016309504707264916,21.31033643755545
Automated 6:2:1,automated,6:2:1,4,LAB_L,0.04847386570967804,2.813392458732313,0.00048473865709678044,0.02813392458732313,58.03936652344617
Automated 6:2:1,automated,6:2:1,1,LAB_A,0.568414096623385,5.1405817025644795,0.002229074888719157,0.02015914393162541,9.043726630112909
Automated 6:2:1,automated,6:2:1,2,LAB_A,0.2593950283246665,9.328616898594385,0.0010172354051947705,0.036582811367036804,35.96297492224258
Automated 6:2:1,automated,6:2:1,3,LAB_A,0.1575968256824579,0.9412701111913748,0.0006180267673821878,0.0036912553380053915,5.9726463849464935
Automated 6:2:1,automated,6:2:1,4,LAB_A,0.24445424278873254,3.7982186108412375,0.0009586440893675786,0.01489497494447544,15.53754423531857
Automated 6:2:1,automated,6:2:1,1,LAB_B,0.2788081492412455,5.1161177201909505,0.001093365291142139,0.020063206745846864,18.349957611045674
Automated 6:2:1,automated,6:2:1,2,LAB_B,0.11041692970110699,0.9151449227470096,0.0004330075674553215,0.003588803618615724,8.288085216861766
Automated 6:2:1,automated,6:2:1,3,LAB_B,0.22492415228419405,4.228223243431724,0.0008820554991537022,0.01658126762130088,18.798440276388458
Automated 6:2:1,automated,6:2:1,4,LAB_B,0.03837833502058446,2.569248484299263,0.00015050327459052728,0.010075484252153972,66.9452826163832
Automated 6:2:1,automated,6:2:1,1,HSV_H,0.31448579269262406,1.4072958996153144,0.0008735716463684002,0.003909155276709207,4.4749108936402555
Automated 6:2:1,automated,6:2:1,2,HSV_H,0.1453874637130865,4.914961916227119,0.00040385406586968475,0.013652671989519775,33.805954039658495
Automated 6:2:1,automated,6:2:1,3,HSV_H,0.26609914438257326,6.773558119356205,0.0007391642899515924,0.018815439220433904,25.455016531799878
Automated 6:2:1,automated,6:2:1,4,HSV_H,0.16664583250650347,2.7927169725714966,0.00046290509029584296,0.007757547146031935,16.758396718156806
Automated 6:2:1,automated,6:2:1,1,HSV_S,0.30346807706200657,8.587901375384641,0.0030346807706200657,0.0858790137538464,28.299191989244736
Automated 6:2:1,automated,6:2:1,2,HSV_S,0.14470618677212813,7.560035045051539,0.0014470618677212812,0.07560035045051539,52.24403471398555
Automated 6:2:1,automated,6:2:1,3,HSV_S,0.1999453682633793,4.23082738121394,0.0019994536826337932,0.0423082738121394,21.15991692111045
Automated 6:2:1,automated,6:2:1,4,HSV_S,0.040498138399814664,0.14629888230251037,0.00040498138399814665,0.0014629888230251037,3.6124841309540265
Automated 6:2:1,automated,6:2:1,1,HSV_V,0.2660360655351453,3.002073604965345,0.002660360655351453,0.03002073604965345,11.284460995641771
Automated 6:2:1,automated,6:2:1,2,HSV_V,0.13285000100780728,3.385157911410507,0.0013285000100780727,0.03385157911410507,25.481052959958724
Automated 6:2:1,automated,6:2:1,3,HSV_V,0.07180483019241518,1.8052484337086139,0.0007180483019241518,0.018052484337086137,25.141044535180924
Automated 6:2:1,automated,6:2:1,4,HSV_V,0.12292978901740419,5.369365975399493,0.001229297890174042,0.05369365975399493,43.67831441278491
Automated 7:1:1 primary,automated,7:1:1,1,RGB_R,1.6140129671718435,9.423658184718255,0.0063294626163601705,0.036955522293012764,5.838650851257331
Automated 7:1:1 primary,automated,7:1:1,2,RGB_R,1.1946626524234558,4.1528990659359675,0.004684951578131199,0.01628587868994497,3.4762106754668562
Automated 7:1:1 primary,automated,7:1:1,3,RGB_R,1.219193428226509,9.437987602512788,0.004781150698927486,0.03701171608828544,7.741173290477533
Automated 7:1:1 primary,automated,7:1:1,4,RGB_R,1.3523824613634938,10.065781974186201,0.005303460632798015,0.0394736548007302,7.44299949293761
Automated 7:1:1 primary,automated,7:1:1,1,RGB_G,0.9916755763481135,10.355794521667558,0.0038889238288161315,0.04061095890850023,10.442724181836969
Automated 7:1:1 primary,automated,7:1:1,2,RGB_G,0.7125862098733525,18.112878898626146,0.0027944557249935395,0.07103089764167116,25.418508873256663
Automated 7:1:1 primary,automated,7:1:1,3,RGB_G,0.39546015518684596,7.829486648951581,0.0015508241379876312,0.030703869211574825,19.7984210198176
Automated 7:1:1 primary,automated,7:1:1,4,RGB_G,0.39901845549656345,9.537429937415586,0.0015647782568492684,0.037401686029080734,23.902227593825486
Automated 7:1:1 primary,automated,7:1:1,1,RGB_B,1.1351524009430767,10.89019217686603,0.004451578042914026,0.04270663598770992,9.5935948052601
Automated 7:1:1 primary,automated,7:1:1,2,RGB_B,0.36828024450236946,22.60362720878042,0.0014442362529504685,0.08864167532855066,61.37615999284206
Automated 7:1:1 primary,automated,7:1:1,3,RGB_B,0.04385243220359269,0.13408859702395223,0.00017197032236703015,0.000525837635388048,3.0577231475194386
Automated 7:1:1 primary,automated,7:1:1,4,RGB_B,1.5638244666861827,12.788573128535054,0.006132644967396795,0.050151267170725704,8.177754857381558
Automated 7:1:1 primary,automated,7:1:1,1,LAB_L,0.2503575086270375,2.7729555647159025,0.002503575086270375,0.027729555647159024,11.075983220646396
Automated 7:1:1 primary,automated,7:1:1,2,LAB_L,0.1011011352367097,3.274939900494643,0.0010110113523670971,0.03274939900494643,32.392711445098755
Automated 7:1:1 primary,automated,7:1:1,3,LAB_L,0.037390362703169526,2.2755080653681614,0.00037390362703169526,0.022755080653681613,60.85814367281519
Automated 7:1:1 primary,automated,7:1:1,4,LAB_L,0.05428528925173498,3.5161351948315813,0.0005428528925173498,0.035161351948315815,64.77141861630965
Automated 7:1:1 primary,automated,7:1:1,1,LAB_A,0.6375770177408189,7.120907946686657,0.0025003020303561523,0.027925129202692772,11.168702366215737
Automated 7:1:1 primary,automated,7:1:1,2,LAB_A,0.17644117320837874,8.435215667674724,0.0006919261694446225,0.03307927712813617,47.80752425462878
Automated 7:1:1 primary,automated,7:1:1,3,LAB_A,0.11713852506196877,5.42709362920755,0.00045936676494889715,0.021282720114539414,46.33056141296386
Automated 7:1:1 primary,automated,7:1:1,4,LAB_A,0.23150798595959524,1.410377590957143,0.0009078744547435108,0.005530892513557423,6.092133647619803
Automated 7:1:1 primary,automated,7:1:1,1,LAB_B,0.10909776791332652,2.040933334059215,0.0004278343839738295,0.008003660133565548,18.70737938177295
Automated 7:1:1 primary,automated,7:1:1,2,LAB_B,0.16213963881899612,4.653198442907207,0.0006358417208588084,0.018247837031008653,28.698709808412637
Automated 7:1:1 primary,automated,7:1:1,3,LAB_B,0.045088897168668506,1.8690413865480984,0.00017681920458301374,0.007329574064894503,41.45236419414718
Automated 7:1:1 primary,automated,7:1:1,4,LAB_B,0.1292219488817932,0.9168175734370293,0.0005067527407129145,0.0035953630330863894,7.094905945705055
Automated 7:1:1 primary,automated,7:1:1,1,HSV_H,0.43615863581200315,3.6137784316111285,0.0012115517661444532,0.010038273421142024,8.285468026749722
Automated 7:1:1 primary,automated,7:1:1,2,HSV_H,0.15702978755023647,1.6140409321189946,0.00043619385430621244,0.0044834470336638736,10.27856534291391
Automated 7:1:1 primary,automated,7:1:1,3,HSV_H,0.04864640493029282,3.0052352080254154,0.00013512890258414673,0.008347875577848376,61.777128491441964
Automated 7:1:1 primary,automated,7:1:1,4,HSV_H,0.17720226833903643,1.7997410945487176,0.0004922285231639901,0.004999280818190882,10.156422439837623
Automated 7:1:1 primary,automated,7:1:1,1,HSV_S,0.41833414168404004,5.350599202166258,0.0041833414168404,0.05350599202166258,12.790252262526222
Automated 7:1:1 primary,automated,7:1:1,2,HSV_S,0.13467261015240817,9.393800858958942,0.0013467261015240816,0.09393800858958942,69.75286844391027
Automated 7:1:1 primary,automated,7:1:1,3,HSV_S,0.01638650859269477,0.05383954212562525,0.0001638650859269477,0.0005383954212562525,3.2856017998628047
Automated 7:1:1 primary,automated,7:1:1,4,HSV_S,0.22455345007899474,7.38339283453576,0.0022455345007899473,0.0738339283453576,32.88033575943005
Automated 7:1:1 primary,automated,7:1:1,1,HSV_V,0.4104622199383836,3.919055997445185,0.004104622199383836,0.039190559974451845,9.547909179152938
Automated 7:1:1 primary,automated,7:1:1,2,HSV_V,0.10957272664150537,1.5843111775807832,0.0010957272664150538,0.01584311177580783,14.458991996833793
Automated 7:1:1 primary,automated,7:1:1,3,HSV_V,0.11119983325477296,3.691831836284991,0.0011119983325477297,0.03691831836284991,33.19997636890817
Automated 7:1:1 primary,automated,7:1:1,4,HSV_V,0.07123506965173758,3.7082390675908954,0.0007123506965173758,0.037082390675908954,52.05636894468093
No-priming 7:1:1,"automated, no priming",7:1:1,1,RGB_R,1.2673786260249125,10.61461045952264,0.004970112258921225,0.04162592337067702,8.375248123613213
No-priming 7:1:1,"automated, no priming",7:1:1,2,RGB_R,1.345326578875263,4.831680928747493,0.005275790505393189,0.018947768348029383,3.591455788219791
No-priming 7:1:1,"automated, no priming",7:1:1,3,RGB_R,1.1524256601689666,11.640538428467538,0.004519316314388105,0.045649170307715835,10.100901802864076
No-priming 7:1:1,"automated, no priming",7:1:1,4,RGB_R,2.725575139481783,12.368228286697002,0.01068852995875209,0.04850285602626275,4.537841612779235
No-priming 7:1:1,"automated, no priming",7:1:1,1,RGB_G,0.6564823361721496,29.492879202429087,0.00257444053400843,0.1156583498134474,44.925624921452815
No-priming 7:1:1,"automated, no priming",7:1:1,2,RGB_G,1.147998539299448,9.234092912599406,0.004501955056076267,0.03621212906901728,8.043645175920169
No-priming 7:1:1,"automated, no priming",7:1:1,3,RGB_G,0.48775776881409394,10.110954771242486,0.001912775563976839,0.03965080302448034,20.72945920641239
No-priming 7:1:1,"automated, no priming",7:1:1,4,RGB_G,0.6847822349928597,12.200033116834227,0.002685420529383764,0.047843267124840105,17.81593109955815
No-priming 7:1:1,"automated, no priming",7:1:1,1,RGB_B,1.6669176390906317,50.792461559917925,0.006536931918002477,0.19918612376438402,30.47088852429877
No-priming 7:1:1,"automated, no priming",7:1:1,2,RGB_B,0.3584212070516885,6.188234513455233,0.0014055733609870137,0.024267586327275423,17.265257723890254
No-priming 7:1:1,"automated, no priming",7:1:1,3,RGB_B,1.199386809774279,11.176707304164449,0.00470347768538933,0.043830224722213526,9.31868452535998
No-priming 7:1:1,"automated, no priming",7:1:1,4,RGB_B,1.2884907340842136,18.867107797674613,0.005052904839545936,0.07398865803009652,14.642796644621809
No-priming 7:1:1,"automated, no priming",7:1:1,1,LAB_L,0.05789968016186303,8.841733033157567,0.0005789968016186303,0.08841733033157567,152.70780440306092
No-priming 7:1:1,"automated, no priming",7:1:1,2,LAB_L,0.0882080855972925,1.394360097825309,0.000882080855972925,0.01394360097825309,15.807622264824532
No-priming 7:1:1,"automated, no priming",7:1:1,3,LAB_L,0.05975319715037075,3.1482984993073213,0.0005975319715037076,0.03148298499307321,52.688368981906216
No-priming 7:1:1,"automated, no priming",7:1:1,4,LAB_L,0.07690683066827453,4.440904883704573,0.0007690683066827453,0.04440904883704573,57.74395908810383
No-priming 7:1:1,"automated, no priming",7:1:1,1,LAB_A,0.41781155205410275,9.08377005519959,0.0016384766747219715,0.03562262766744937,21.741308995743914
No-priming 7:1:1,"automated, no priming",7:1:1,2,LAB_A,0.4713337281631717,3.1778340866708894,0.0018483675614242028,0.0124620944575329,6.742216601080478
No-priming 7:1:1,"automated, no priming",7:1:1,3,LAB_A,0.2749236499646682,5.722742472655338,0.0010781319606457578,0.022442127343746423,20.815751840159244
No-priming 7:1:1,"automated, no priming",7:1:1,4,LAB_A,0.592469972995367,3.4301758485319467,0.0023234116588053606,0.013451669994242929,5.789619735815321
No-priming 7:1:1,"automated, no priming",7:1:1,1,LAB_B,0.5314704105582495,12.41258390479269,0.0020841976884637234,0.048676799626638,23.355173981849106
No-priming 7:1:1,"automated, no priming",7:1:1,2,LAB_B,0.18295717490032215,0.7514287132596856,0.0007174791172561653,0.0029467792676850417,4.107128969766151
No-priming 7:1:1,"automated, no priming",7:1:1,3,LAB_B,0.09466688607890261,1.5510351719511783,0.0003712426905055004,0.0060824908703967775,16.384136377512483
No-priming 7:1:1,"automated, no priming",7:1:1,4,LAB_B,0.4198441963535428,3.8592857034353822,0.0016464478288374228,0.015134453738962283,9.192185427247281
No-priming 7:1:1,"automated, no priming",7:1:1,1,HSV_H,0.18621714100821904,2.69975441835817,0.0005172698361339418,0.007499317828772694,14.4978835124475
No-priming 7:1:1,"automated, no priming",7:1:1,2,HSV_H,0.2659136489644656,1.362484151453867,0.0007386490249012933,0.003784678198482964,5.123784193702436
No-priming 7:1:1,"automated, no priming",7:1:1,3,HSV_H,0.16017791839133072,3.2877460528960145,0.0004449386621981409,0.009132627924711152,20.525588582464415
No-priming 7:1:1,"automated, no priming",7:1:1,4,HSV_H,0.6432921351981041,6.122866902410154,0.0017869225977725114,0.017007963617805984,9.518019213035451
No-priming 7:1:1,"automated, no priming",7:1:1,1,HSV_S,0.3981012579596026,23.214418162235102,0.0039810125795960265,0.232144181622351,58.31284804578736
No-priming 7:1:1,"automated, no priming",7:1:1,2,HSV_S,0.18144215315278633,2.544658297842322,0.0018144215315278633,0.02544658297842322,14.024625775354147
No-priming 7:1:1,"automated, no priming",7:1:1,3,HSV_S,0.21044898601138948,4.539546702060151,0.002104489860113895,0.04539546702060151,21.570770133406445
No-priming 7:1:1,"automated, no priming",7:1:1,4,HSV_S,0.6332863127726716,5.7419498875478805,0.006332863127726716,0.05741949887547881,9.066909819049014
No-priming 7:1:1,"automated, no priming",7:1:1,1,HSV_V,0.10022955680097519,4.112639322079984,0.001002295568009752,0.041126393220799834,41.03220101278518
No-priming 7:1:1,"automated, no priming",7:1:1,2,HSV_V,0.24936937685238,1.801084591963242,0.0024936937685238,0.01801084591963242,7.222557214911902
No-priming 7:1:1,"automated, no priming",7:1:1,3,HSV_V,0.11554262638836384,4.579672035099688,0.0011554262638836384,0.04579672035099688,39.63621200461912
No-priming 7:1:1,"automated, no priming",7:1:1,4,HSV_V,0.14641801011127165,4.744075504618212,0.0014641801011127165,0.047440755046182115,32.40090137144269
